id;libelle;jhi_option;capacite_classe
1;blue Views;azure;72046
2;Alabama Licensed Division;sticky Jewelery;15318
3;Checking Account Light Streamlined;National Sleek Wooden Pizza;75264
4;implement;Nicaragua override Usability;38074
5;engineer;Security Holy See (Vatican City State) Chicken;12285
6;Toys;GB out-of-the-box Usability;93630
7;Sweden;Applications National optimal;14014
8;Money Market Account productize card;Keyboard;57118
9;Producer calculating;generate;60094
10;Cross-group optical Solomon Islands Dollar;Toys Villages cyan;92533
